var_id,tag_name,story_id,psr_idx,psr_style,is_footnote,text,permission
C_000001,story_00_prologue_ch01_rt01,u987,0,01-01 章 第◯章,False,プロローグ,TEXT_ONLY_REPLACE
C_000002,story_00_prologue_ch01_rt01,u987,1,01-01 章 タイトル,False,ミツカネグループを離れるミツカネ電子,TEXT_ONLY_REPLACE
C_000003,story_00_prologue_ch01_rt01,u987,2,01-03 項 見出し,False,ミツカネ工業の取締役会決議,TEXT_ONLY_REPLACE
C_000004,story_00_prologue_ch01_rt01,u987,3,01 本文,False,非鉄金属の雄であるプライム市場上場会社,TEXT_ONLY_REPLACE
C_000005,story_00_prologue_ch01_rt01,u987,3,01 本文,True,　2022年の市場再編で誕生した日本最上位の株式市場である東証プライム市場のこと。,TEXT_ONLY_REPLACE
C_000006,story_00_prologue_ch01_rt01,u987,3,01 本文,False,のミツカネ工業は、取締役会において、子会社の株式を投資ファンド,TEXT_ONLY_REPLACE
C_000007,story_00_prologue_ch01_rt01,u987,3,01 本文,True,　本書では、PE（Private Equity）ファンドのこと。,TEXT_ONLY_REPLACE
C_000008,story_00_prologue_ch01_rt01,u987,3,01 本文,False,のジェインに譲渡する決議を行った。 譲渡される子会社とは、ミツカネ電子である。,TEXT_ONLY_REPLACE
C_000009,story_00_prologue_ch01_rt01,u987,6,01 本文,False,その日以降、ミツカネ電子の寺田社長はもとより、経営企画部長の西郷の生活は、一変した。,TEXT_ONLY_REPLACE
C_000010,story_00_prologue_ch01_rt01,u987,7,01 本文,False,ミツカネ工業が電子を売却する件は、メディアでも大々的に取り上げられ、寺田社長や西郷のところにも、メディアから多くの問い合わせや取材依頼が殺到した。 その対応をしつつ、寺田社長は、事前に準備してあったコミュニケーション・スケジュールに基づいて、ミツカネグループから離れることになった経緯や今後の経営方針を、社員全員に周知する活動を精力的に実行した。 『できるだけ自らの言葉で社員に説明したい』 と考えた寺田社長は、各事業所に出向いて、車座集会を開催し、自らの思いを、一人ひとりの社員に伝えていった。 社員からの質問についても、時間が許す限り、わかりやすい言葉で答えた。,TEXT_ONLY_REPLACE
C_000011,story_00_prologue_ch01_rt01,u987,8,01 本文,False,そうやって車座集会を開催して実感したことは、一度、集会を開いたくらいでは、社員の理解を得ることは難しいという現実であった。 今後も、多くの機会を設けて、社員と直接対話する機会を増やさなければいけないと、寺田社長は強く感じていた。,TEXT_ONLY_REPLACE
C_000012,story_00_prologue_ch01_rt01,u987,9,01-03 項 見出し,False,すべてはここから始まった,TEXT_ONLY_REPLACE
C_000013,story_00_prologue_ch01_rt01,u987,10,01 本文,False,今夜は、その多忙なスケジュールの合間をぬって、新たな株主となったジェインとの会食に臨むべく、寺田社長は、西郷と一緒に、東京タワーのたもとにある会席料理屋に出向いた。,TEXT_ONLY_REPLACE
C_000014,story_00_prologue_ch01_rt01,u987,11,01 本文,False,約束の時間よりも早く店に着いたため、冷え込んでくる夕方の時間帯だったが、庭を散策することにした。,TEXT_ONLY_REPLACE
C_000015,story_00_prologue_ch01_rt01,u987,12,01 本文,False,「この２年間は、まるでジェットコースターのようだったね」,TEXT_ONLY_REPLACE
C_000016,story_00_prologue_ch01_rt01,u987,13,01 本文,False,寺田社長が西郷を見て、感慨深げにつぶやく。,TEXT_ONLY_REPLACE
C_000017,story_00_prologue_ch01_rt01,u987,14,01 本文,False,深くうなずく西郷。,TEXT_ONLY_REPLACE
C_000018,story_00_prologue_ch01_rt01,u987,15,01 本文,False,庭の踏み石のうえで、寺田社長は、歩みを止め、天を仰ぐ。,TEXT_ONLY_REPLACE
C_000019,story_00_prologue_ch01_rt01,u987,16,01 本文,False,「すべてはここから始まった」,TEXT_ONLY_REPLACE
C_000020,story_00_prologue_ch01_rt01,u987,17,01 本文,False,大手町が、自分たちの会社を「遠ざける会社」に分類し、「売却の意思決定をした」と知ったとき、当事者である自分たちの話を聞くこともなく、そういう重大な意思決定をした大手町に、寺田社長はおおいに困惑し、悔しくてたまらなかった。 やり場のない怒りを振り向ける先もなく、大手町への欝憤と虚脱感は、頂点に達していた。,TEXT_ONLY_REPLACE
C_000021,story_00_prologue_ch01_rt01,u987,18,01 本文,False,大手町とは、親会社であるミツカネ工業のことである。 本社が大手町にあることから、ミツカネ工業は、グループ子会社から、そう呼ばれている。,TEXT_ONLY_REPLACE
C_000022,story_00_prologue_ch01_rt01,u987,19,01 本文,False,子会社の立場で、親会社の意思決定を覆すことなどできない。 でも、知りもしない会社に売られてしまうなんて、ありえない。 大手町が『売却』と言うのなら、納得できる売却先を自分たちで探すしかない。 競合会社などに売られてしまったら、もう終わりだ。社員がみんな辞めてしまう。 『親会社は、そんなヒドイことはしないだろう』 と、外の人は言うかもしれない。しかしながらそれは、社内政治が蠢く大手町の内情を知らない人の発言だ。 大手町は、いざとなったら、何をやらかすかわからない。 （親会社の温情に期待しても、結局、馬鹿を見るのは自分たちだ） 売却対象となった電子の寺田社長たちは、最悪の事態に陥ることを恐れた。,TEXT_ONLY_REPLACE
C_000023,story_00_prologue_ch01_rt01,u987,20,01 本文,False,そのようななかで、寺田社長は、この会席料理屋でジェインと出会った。,TEXT_ONLY_REPLACE
C_000024,story_00_prologue_ch01_rt01,u987,21,01 本文,False,「あの頃は、どうやって新たな株主探しをしたらいいかわからず、全くの手探り状態だった。 投資ファンドがウチの新たな株主になるというイメージは、全くなかった。 『何か新しいアイディアがあるかもしれない』 という、ぼんやりとした期待で、あの日、ここでジェインと会ったんだったね」,TEXT_ONLY_REPLACE
C_000025,story_00_prologue_ch01_rt01,u987,22,01 本文,False,「そうでした。 あの日は、日下部代表パートナーとは、情報交換くらいのつもりでした。 それが、初対面にもかかわらず、随分と長時間にわたって、ジェインの話に聞き入ることになって・・・いやぁ、わからないものですね。 あの日を境に、私たちの株主探しには、一定の方向性が見い出されました。 ここは記念すべき場所です」,TEXT_ONLY_REPLACE
C_000026,story_00_prologue_ch01_rt01,u987,23,01 本文,False,西郷も感慨深い表情だ。,TEXT_ONLY_REPLACE
